#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-15 16:56:38.755
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Bus
-2.265e-05,4
-2.264e-05,0
-2.263e-05,0
-2.262e-05,196
-2.261e-05,196
-2.26e-05,196
-2.259e-05,774
-2.258e-05,774
-2.257e-05,774
-2.256e-05,1675
-2.255e-05,1675
-2.254e-05,1675
-2.253e-05,3723
-2.252e-05,3895
-2.251e-05,3022
-2.25e-05,2822
-2.249e-05,4079
-2.248e-05,4079
-2.247e-05,4079
-2.246e-05,2047
-2.245e-05,2047
-2.244e-05,4087
-2.243e-05,3319
-2.242e-05,3963
-2.241e-05,2546
-2.24e-05,2418
-2.239e-05,3319
-2.238e-05,3319
-2.237e-05,3319
-2.236e-05,4029
-2.235e-05,3903
-2.234e-05,4089
-2.233e-05,3963
-2.232e-05,4095
-2.231e-05,4094
-2.23e-05,4094
-2.229e-05,3897
-2.228e-05,3899
-2.227e-05,3901
-2.226e-05,4087
-2.225e-05,3319
-2.224e-05,3319
-2.223e-05,3319
-2.222e-05,3963
-2.221e-05,2546
-2.22e-05,2418
-2.219e-05,1271
-2.218e-05,1271
-2.217e-05,1271
-2.216e-05,4079
-2.215e-05,4079
-2.214e-05,4079
-2.213e-05,4079
-2.212e-05,3863
-2.211e-05,3070
-2.21e-05,2822
-2.209e-05,1675
-2.208e-05,1675
-2.207e-05,1675
-2.206e-05,910
-2.205e-05,3871
-2.204e-05,774
-2.203e-05,774
-2.202e-05,196
-2.201e-05,196
-2.2e-05,196
-2.199e-05,3899
-2.198e-05,196
-2.197e-05,0
-2.196e-05,196
-2.195e-05,196
-2.194e-05,196
-2.193e-05,196
-2.192e-05,774
-2.191e-05,838
-2.19e-05,774
-2.189e-05,1675
-2.188e-05,1675
-2.187e-05,1675
-2.186e-05,2958
-2.185e-05,3871
-2.184e-05,2822
-2.183e-05,2823
-2.182e-05,4079
-2.181e-05,4079
-2.18e-05,4079
-2.179e-05,1271
-2.178e-05,2047
-2.177e-05,4087
-2.176e-05,3583
-2.175e-05,3959
-2.174e-05,2418
-2.173e-05,2419
-2.172e-05,3319
-2.171e-05,3319
-2.17e-05,3319
-2.169e-05,3897
-2.168e-05,4095
-2.167e-05,3897
-2.166e-05,4094
-2.165e-05,4095
-2.164e-05,4094
-2.163e-05,4095
-2.162e-05,3897
-2.161e-05,3899
-2.16e-05,3897
-2.159e-05,3319
-2.158e-05,3327
-2.157e-05,3319
-2.156e-05,3071
-2.155e-05,3959
-2.154e-05,2418
-2.153e-05,2419
-2.152e-05,1271
-2.151e-05,1271
-2.15e-05,1271
-2.149e-05,4079
-2.148e-05,4079
-2.147e-05,4079
-2.146e-05,4095
-2.145e-05,3919
-2.144e-05,2982
-2.143e-05,2823
-2.142e-05,1675
-2.141e-05,1675
-2.14e-05,1675
-2.139e-05,2934
-2.138e-05,1950
-2.137e-05,774
-2.136e-05,3014
-2.135e-05,228
-2.134e-05,196
-2.133e-05,196
-2.132e-05,3890
-2.131e-05,193
-2.13e-05,0
-2.129e-05,196
-2.128e-05,196
-2.127e-05,196
-2.126e-05,902
-2.125e-05,774
-2.124e-05,774
-2.123e-05,774
-2.122e-05,1675
-2.121e-05,1675
-2.12e-05,1675
-2.119e-05,2838
-2.118e-05,3982
-2.117e-05,2822
-2.116e-05,4079
-2.115e-05,4079
-2.114e-05,4079
-2.113e-05,4095
-2.112e-05,1271
-2.111e-05,4095
-2.11e-05,2039
-2.109e-05,2938
-2.108e-05,4087
-2.107e-05,2418
-2.106e-05,3319
-2.105e-05,3319
-2.104e-05,3319
-2.103e-05,3319
-2.102e-05,3897
-2.101e-05,4091
-2.1e-05,3897
-2.099e-05,4094
-2.098e-05,4094
-2.097e-05,4094
-2.096e-05,4093
-2.095e-05,3897
-2.094e-05,3897
-2.093e-05,3961
-2.092e-05,3319
-2.091e-05,3831
-2.09e-05,3319
-2.089e-05,3066
-2.088e-05,3062
-2.087e-05,2418
-2.086e-05,1527
-2.085e-05,1271
-2.084e-05,1271
-2.083e-05,3319
-2.082e-05,4079
-2.081e-05,4079
-2.08e-05,4079
-2.079e-05,3071
-2.078e-05,4062
-2.077e-05,2822
-2.076e-05,1935
-2.075e-05,1675
-2.074e-05,1675
-2.073e-05,1675
-2.072e-05,3959
-2.071e-05,974
-2.07e-05,774
-2.069e-05,3285
-2.068e-05,196
-2.067e-05,196
-2.066e-05,196
-2.065e-05,4
-2.064e-05,0
-2.063e-05,0
-2.062e-05,196
-2.061e-05,196
-2.06e-05,196
-2.059e-05,774
-2.058e-05,774
-2.057e-05,774
-2.056e-05,1675
-2.055e-05,1675
-2.054e-05,1675
-2.053e-05,3723
-2.052e-05,3895
-2.051e-05,3022
-2.05e-05,2822
-2.049e-05,4079
-2.048e-05,4079
-2.047e-05,4079
-2.046e-05,2047
-2.045e-05,2047
-2.044e-05,4087
-2.043e-05,3319
-2.042e-05,3963
-2.041e-05,2546
-2.04e-05,2418
-2.039e-05,3319
-2.038e-05,3319
-2.037e-05,3319
-2.036e-05,4093
-2.035e-05,3903
-2.034e-05,4089
-2.033e-05,3899
-2.032e-05,4095
-2.031e-05,4094
-2.03e-05,4094
-2.029e-05,3897
-2.028e-05,3899
