Time (s),Bus
0.0400446,4090
0.04004461,3535
0.04004462,1813
0.04004463,574
0.04004464,31
0.04004465,1130
0.04004466,411
0.04004467,3624
0.04004468,4072
0.04004469,3171
0.0400447,1875
0.04004471,1303
0.04004472,167
0.04004473,1638
0.04004474,2519
0.04004475,3668
0.04004476,4008
0.04004477,2811
0.04004478,970
0.04004479,85
0.0400448,437
0.04004481,1574
0.04004482,3029
0.04004483,3926
0.04004484,3755
0.04004485,2236
0.04004486,986
0.04004487,67
0.04004488,913
0.04004489,1574
0.0400449,970
0.04004491,85
0.04004492,405
0.04004493,1574
0.04004494,3362
0.04004495,4090
0.04004496,3535
0.04004497,2284
0.04004498,3882
0.04004499,4090
0.040045,3431
0.04004501,1811
0.04004502,310
0.04004503,63
0.04004504,1128
0.04004505,1809
0.04004506,574
0.04004507,31
0.04004508,1626
0.04004509,2455
0.0400451,3668
0.04004511,4008
0.04004512,2811
0.04004513,1875
0.04004514,279
0.04004515,167
0.04004516,1128
0.04004517,2965
0.04004518,3926
0.04004519,3755
0.0400452,2236
0.04004521,3989
0.04004522,4062
0.04004523,3275
0.04004524,2220
0.04004525,686
0.04004526,67
0.04004527,731
0.04004528,1574
0.04004529,3362
0.0400453,4090
0.04004531,3535
0.04004532,1809
0.04004533,574
0.04004534,31
0.04004535,1130
0.04004536,411
0.04004537,3624
0.04004538,4072
0.04004539,3171
0.0400454,1875
0.04004541,1303
0.04004542,167
0.04004543,1638
0.04004544,2519
0.04004545,3668
0.04004546,4008
0.04004547,2811
0.04004548,970
0.04004549,85
0.0400455,437
0.04004551,1574
0.04004552,1346
0.04004553,279
0.04004554,167
0.04004555,1638
0.04004556,2961
0.04004557,4062
0.04004558,3275
0.04004559,2220
0.0400456,3362
0.04004561,4058
0.04004562,3535
0.04004563,4092
0.04004564,558
0.04004565,79
0.04004566,1755
0.04004567,1983
0.04004568,958
0.04004569,67
0.0400457,921
0.04004571,1574
0.04004572,3688
0.04004573,4072
0.04004574,3171
0.04004575,1873
0.04004576,574
0.04004577,31
0.04004578,1626
0.04004579,2455
0.0400458,3668
0.04004581,4008
0.04004582,2811
0.04004583,3031
0.04004584,3926
0.04004585,3753
0.04004586,2747
0.04004587,986
0.04004588,85
0.04004589,405
0.0400459,1574
0.04004591,1858
0.04004592,341
0.04004593,181
0.04004594,1638
0.04004595,3362
0.04004596,4058
0.04004597,3535
0.04004598,2284
0.04004599,3362
0.040046,4090
0.04004601,3535
0.04004602,1813
0.04004603,574
0.04004604,31
0.04004605,1130
0.04004606,1433
0.04004607,558
0.04004608,75
0.04004609,731
0.0400461,2455
0.04004611,3688
0.04004612,4008
0.04004613,2675
0.04004614,2519
0.04004615,3668
0.04004616,4008
0.04004617,2811
0.04004618,970
0.04004619,85
0.0400462,437
0.04004621,1574
0.04004622,3029
0.04004623,3926
0.04004624,3755
0.04004625,2748
0.04004626,986
0.04004627,67
0.04004628,913
0.04004629,1574
0.0400463,970
0.04004631,85
0.04004632,405
0.04004633,1574
0.04004634,3362
0.04004635,4090
0.04004636,3535
0.04004637,2284
0.04004638,958
0.04004639,67
0.0400464,921
0.04004641,1574
0.04004642,3688
0.04004643,4072
0.04004644,3171
0.04004645,2519
0.04004646,3688
0.04004647,4008
0.04004648,2683
0.04004649,1858
0.0400465,277
0.04004651,167
0.04004652,1638
0.04004653,2517
0.04004654,3926
0.04004655,3753
0.04004656,2747
0.04004657,986
0.04004658,85
0.04004659,405
0.0400466,1574
0.04004661,4053
0.04004662,4062
0.04004663,3279
0.04004664,2220
0.04004665,686
0.04004666,67
0.04004667,731
0.04004668,1574
0.04004669,3362
0.0400467,4090
0.04004671,3535
0.04004672,1813
0.04004673,574
0.04004674,31
0.04004675,1130
0.04004676,411
0.04004677,3624
0.04004678,4072
0.04004679,3171
0.0400468,1875
0.04004681,1303
0.04004682,167
0.04004683,1638
0.04004684,2519
0.04004685,3668
0.04004686,4008
0.04004687,2811
0.04004688,970
0.04004689,85
0.0400469,437
0.04004691,1574
0.04004692,1346
0.04004693,279
0.04004694,167
0.04004695,1638
0.04004696,2961
0.04004697,4062
0.04004698,3275
0.04004699,2220
0.040047,3362
0.04004701,4058
0.04004702,3535
0.04004703,3580
0.04004704,558
0.04004705,79
0.04004706,1755
0.04004707,1983
0.04004708,3882
0.04004709,4090
0.0400471,3439
0.04004711,1811
0.04004712,310
0.04004713,31
0.04004714,1128
0.04004715,471
0.04004716,3688
0.04004717,4008
0.04004718,2675
0.04004719,1858
0.0400472,277
0.04004721,167
0.04004722,1638
0.04004723,1875
0.04004724,279
0.04004725,191
0.04004726,1128
0.04004727,2965
0.04004728,3926
0.04004729,3755
0.0400473,2748
0.04004731,1858
0.04004732,341
0.04004733,181
0.04004734,1638
0.04004735,3362
0.04004736,4058
0.04004737,3535
0.04004738,2284
0.04004739,3362
0.0400474,4090
0.04004741,3535
0.04004742,1813
0.04004743,574
0.04004744,31
0.04004745,1130
0.04004746,411
0.04004747,3624
0.04004748,4072
0.04004749,3171
0.0400475,1875
0.04004751,1303
0.04004752,167
0.04004753,1638
0.04004754,2519
0.04004755,3668
0.04004756,4008
0.04004757,2811
0.04004758,970
0.04004759,85
0.0400476,437
0.04004761,1574
0.04004762,1346
0.04004763,279
0.04004764,167
0.04004765,1638
0.04004766,2965
0.04004767,4054
0.04004768,3275
0.04004769,2220
0.0400477,3874
0.04004771,4058
0.04004772,3535
0.04004773,3580
0.04004774,558
0.04004775,79
0.04004776,731
0.04004777,1983
0.04004778,3882
0.04004779,4090
0.0400478,3439
0.04004781,1811
0.04004782,310
0.04004783,31
0.04004784,1128
0.04004785,1809
0.04004786,574
0.04004787,31
0.04004788,1626
0.04004789,2455
0.0400479,3668
0.04004791,4008
0.04004792,2811
0.04004793,3031
0.04004794,3926
0.04004795,3753
0.04004796,2747
0.04004797,986
0.04004798,85
0.04004799,405
0.040048,1574
0.04004801,3029
0.04004802,4062
0.04004803,3275
0.04004804,2220
0.04004805,702
0.04004806,67
0.04004807,731
0.04004808,1574
0.04004809,986
